Frequency_MHz,Relative_Power_dB
1805.0,-0.06443440483048857
1805.01953125,0.7454776069138014
1805.0390625,-0.6415559224951461
1805.05859375,0.5867281606468311
1805.078125,-0.2705156519945593
1805.09765625,-5.014320019139693
1805.1171875,-1.0852008793607386
1805.13671875,0.563950624263731
1805.15625,4.361874413369807
1805.17578125,0.7863232634886369
1805.1953125,0.46460297373911513
1805.21484375,1.938365497064312
1805.234375,1.9073797556499208
1805.25390625,-1.652656181227261
1805.2734375,0.8732378114421147
1805.29296875,1.799764530075659
1805.3125,-1.2245042103017902
1805.33203125,1.8476235916141075
1805.3515625,3.607637835920708
1805.37109375,0.6695110820228644
1805.390625,4.0987109202838825
1805.41015625,5.726085748482939
1805.4296875,3.7467511222644894
1805.44921875,-0.9156530835994976
1805.46875,2.129154531381385
1805.48828125,1.8872346793757644
1805.5078125,3.1368153102923406
1805.52734375,2.6495702892805695
1805.546875,-0.3635946369966735
1805.56640625,3.2636494054016567
1805.5859375,0.37210546335415734
1805.60546875,1.1415799066687007
1805.625,2.131319048034609
1805.64453125,4.083618348472578
1805.6640625,3.059423137520488
1805.68359375,4.459422934349641
1805.703125,3.7866563394140194
1805.72265625,1.802177948229334
1805.7421875,2.9198992977466682
1805.76171875,3.369928988309706
1805.78125,1.5938099473109495
1805.80078125,2.776240376211017
1805.8203125,2.777766317431245
1805.83984375,1.744965007872958
1805.859375,3.704828686202435
1805.87890625,4.067281699388413
1805.8984375,1.217459596009196
1805.91796875,3.415899990564416
1805.9375,4.242671243579761
1805.95703125,5.0552483019213525
1805.9765625,7.472055742694866
1805.99609375,9.299881082030481
1806.015625,10.828664162142319
1806.03515625,9.380223213511712
1806.0546875,8.114554871036706
1806.07421875,6.904379923039961
1806.09375,5.1463437223917685
1806.11328125,6.261265350107661
1806.1328125,2.9703597568592106
1806.15234375,2.278210548531913
1806.171875,1.7834103725611208
1806.19140625,4.221124941306634
1806.2109375,1.6904477477777142
1806.23046875,2.8023355747891245
1806.25,4.076219207229661
1806.26953125,4.874378077530283
1806.2890625,2.1018778177304815
1806.30859375,2.7680066593438055
1806.328125,2.849229910917681
1806.34765625,1.490797894106909
1806.3671875,4.055234094443337
1806.38671875,3.3429557172107836
1806.40625,5.835350839877762
1806.42578125,5.7354525908017475
1806.4453125,5.592598714426901
1806.46484375,4.686712767469787
1806.484375,3.856274329272606
1806.50390625,-0.7420315747423812
1806.5234375,3.9640949664754785
1806.54296875,5.157882917683491
1806.5625,4.072328379287362
1806.58203125,4.528676582484038
1806.6015625,2.9919897572064427
1806.62109375,0.5164886785135417
1806.640625,-2.0811004015915495
1806.66015625,-0.6425084841591382
1806.6796875,0.18357774461570556
1806.69921875,3.449885598233833
1806.71875,1.7596808035206375
1806.73828125,-2.4573171371098272
1806.7578125,4.524191298146048
1806.77734375,4.161514761055143
1806.796875,3.540576345468627
1806.81640625,-0.9634881290232581
1806.8359375,-1.0998614985565884
1806.85546875,-2.5249597837224558
1806.875,-0.0628591538474256
1806.89453125,-1.4224837397848935
1806.9140625,-0.022031956163388954
1806.93359375,-0.7225346977467323
1806.953125,3.32469485213261
1806.97265625,4.478726786680075
1806.9921875,3.7112139314569057
1807.01171875,2.796585939318201
1807.03125,2.1214394005392863
1807.05078125,0.7341031057827024
1807.0703125,-2.6990856803641465
1807.08984375,2.2249018454379152
1807.109375,1.5734648151164563
1807.12890625,0.040086131120999194
1807.1484375,-1.163074088343985
1807.16796875,1.2205872410797993
1807.1875,3.9793806440111807
1807.20703125,3.2552650444062663
1807.2265625,3.0179105245905493
1807.24609375,4.23960124346958
1807.265625,4.068820415636533
1807.28515625,3.1645630813495105
1807.3046875,0.7830504147997768
1807.32421875,3.9106600579072883
1807.34375,5.378643886354313
1807.36328125,4.652192792587588
1807.3828125,4.0555526802339195
1807.40234375,4.42566338814142
1807.421875,4.7452413444509505
1807.44140625,3.7715315130098284
1807.4609375,3.4224239785772994
1807.48046875,4.860891314227271
1807.5,4.196194553856179
1807.51953125,1.407104973138928
1807.5390625,2.8932883278005144
1807.55859375,1.510173447271034
1807.578125,4.480597889421029
1807.59765625,2.8731529961103357
1807.6171875,3.168515372593858
1807.63671875,2.4641819518930714
1807.65625,0.9424165702853753
1807.67578125,1.6700935930281395
1807.6953125,1.635636731967449
1807.71484375,2.00172178527107
1807.734375,3.9581415463149283
1807.75390625,5.689323005021601
1807.7734375,5.838590011634564
1807.79296875,4.280576335417519
1807.8125,1.2127526612803874
1807.83203125,3.762532640456336
1807.8515625,3.5803158332940703
1807.87109375,1.1729585351407512
1807.890625,0.5545680639783492
1807.91015625,3.183785402023557
1807.9296875,2.282699655964202
1807.94921875,1.350166695853646
1807.96875,3.8519516318947864
1807.98828125,4.4219919589474275
1808.0078125,6.443444790588609
1808.02734375,6.269050680979582
1808.046875,5.183029705770457
1808.06640625,4.343534570845626
1808.0859375,6.224129348918974
1808.10546875,2.2644397651881563
1808.125,-0.5758994305729013
1808.14453125,2.9345919293049496
1808.1640625,3.7189704397060197
1808.18359375,4.610722390751696
1808.203125,3.4206091739714517
1808.22265625,3.6987802649184203
1808.2421875,4.136485155213645
1808.26171875,3.90593698427733
1808.28125,5.027894146130746
1808.30078125,6.080787751274544
1808.3203125,4.832954910601939
1808.33984375,3.433753774129195
